fdc_id,description
2710830,"Khorasan, grain, dry, raw"
2710832,"Mandarin, seedless, peeled, raw"
2710833,"Mango, Tommy Atkins, peeled, raw"
2710834,"Mango, Ataulfo, peeled, raw"
2710836,"Pear, Anjou, green, with skin, raw"
2710837,"Plum, black, with skin, raw"
2710838,"Rice, red, unenriched, dry, raw"
2710839,"Sorghum bran, white, unenriched, dry, raw"
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw"
2710842,"Sorghum, whole grain, white, dry, raw"
2710843,"Plantains, overripe, raw"
2727570,"Lamb, ground, raw"
2727577,"Pawpaw, peeled, seeded, raw"
2727578,"Squash, pie pumpkin, peeled, seeded, raw"
2727580,"Rutabaga, peeled, raw"
2727581,"Blackberries, raw"
2727582,"Tomatillos, dehusked, raw"
2727583,"Cabbage, napa, leaf, destemmed, raw"
2727584,"Leeks, bulb and greens, root removed, raw"
2727586,"Shallots, bulb, peeled, root removed, raw"
2727587,"Juice, prune, shelf-stable"
2727588,"Juice, pomegranate, from concentrate, shelf-stable"
2727589,"Juice, tart cherry, from concentrate, shelf-stable"
2747653,"Beet greens, raw"
2747654,"Cod, Pacific or Alaskan, frozen, wild caught"
2747655,"Fennel, bulb, raw"
2747656,"Halibut, frozen, wild caught"
2747657,"Lobster, tail only, frozen, wild caught"
2747658,"Mahi mahi, frozen, wild caught"
2747659,"Parsnips, raw"
2747661,"Peppers, jalapeno, seeded, raw"
2747662,"Peppers, poblano, seeded, raw"
2747663,"Peppers, serrano, seeded, raw"
2747664,"Radicchio, raw"
2747665,"Radishes, red, raw"
2747666,"Scallops, bay, Patagonian, frozen, wild caught"
2747667,"Scallops, sea, frozen, wild caught"
2747668,"Sea bass, Chilean, frozen, wild caught"
2747670,"Snow crab, legs only, frozen  "
2747671,"Squid (calamari), frozen, tubes only"
2747674,"Turnips, raw"
2747675,"Watermelon, seedless, flesh only, raw"
2747676,"Watermelon, seedless, rind only, raw"
